dates,cumulative,daily
2022-01-16,564307,3024
2022-01-17,567000,2693
2022-01-18,569836,2836
2022-01-19,573947,4111
2022-01-20,578707,4760
2022-01-21,583599,4892
2022-01-22,588588,4989
2022-01-23,593942,5354
2022-01-24,599171,5229
2022-01-25,604998,5827
2022-01-26,614065,9067
2022-01-27,624119,10054
2022-01-28,635589,11470
2022-01-29,647977,12388
2022-01-30,660332,12355
2022-01-31,672153,11821
2022-02-01,684698,12545
2022-02-02,698876,14178
2022-02-03,715166,16290
2022-02-04,735349,20183
2022-02-05,762527,27178
2022-02-06,791315,28788
2022-02-07,817814,26499
2022-02-08,845285,27471
2022-02-09,882381,37096
2022-02-10,922251,39870
2022-02-11,962167,39916
2022-02-12,1002174,40007
2022-02-13,1042739,40565
2022-02-14,1081253,38514
2022-02-15,1120874,39621
2022-02-16,1184559,63685
2022-02-17,1249696,65137
2022-02-18,1328763,79067
2022-02-19,1402528,73765
2022-02-20,1477400,74872
2022-02-21,1545410,68010
2022-02-22,1615586,70176
2022-02-23,1740274,124688
2022-02-24,1862870,122596
2022-02-25,1984982,122112
2022-02-26,2108917,123935
2022-02-27,2230631,121714
2022-02-28,2333335,102704
2022-03-01,2434807,101472
2022-03-02,2599295,164488
2022-03-03,2745550,146255
2022-03-04,2945812,200262
2022-03-05,3131857,186045
2022-03-06,3316089,184232
2022-03-07,3472868,156779
2022-03-08,3616733,143865
2022-03-09,3863387,246654
2022-03-10,4102363,238976
2022-03-11,4309763,207400
2022-03-12,4593922,284159
2022-03-13,4852584,258662
2022-03-14,5082412,229828
2022-03-15,5343138,260726
2022-03-16,5634459,291321
2022-03-17,6098375,463916
2022-03-18,6403025,304650
2022-03-19,6685127,282102
2022-03-20,6932156,247029
2022-03-21,7082301,150145
2022-03-22,7329708,247407
2022-03-23,7685951,356243
2022-03-24,7979961,294010
2022-03-25,8234525,254564
2022-03-26,8483254,248729
2022-03-27,8721047,237793
2022-03-28,8855770,134723
2022-03-29,9103823,248053
2022-03-30,9419170,315347
2022-03-31,9662198,243028
2022-04-01,9875197,212999
2022-04-02,10077434,202237
2022-04-03,10256656,179222
2022-04-04,10350075,93419
2022-04-05,10546255,196180
2022-04-06,10765097,218842
2022-04-07,10940141,175044
2022-04-08,11099471,159330
2022-04-09,11243235,143764
2022-04-10,11371516,128281
2022-04-11,11439541,68025
2022-04-12,11600576,161035
2022-04-13,11753416,152840
2022-04-14,11870509,117093
2022-04-15,11970292,99783
2022-04-16,12056490,86198
2022-04-17,12130592,74102
2022-04-18,12166302,35710
2022-04-19,12258102,91800
2022-04-20,12346542,88440
2022-04-21,12419467,72925
2022-04-22,12484709,65242
2022-04-23,12545495,60786
2022-04-24,12597997,52502
2022-04-25,12624349,26352
2022-04-26,12688084,63735
2022-04-27,12750621,62537
2022-04-28,12797464,46843
2022-04-29,12838744,41280
2022-04-30,12874151,35407
2022-05-01,12904640,30489
2022-05-02,12919954,15314
2022-05-03,12960265,40311
2022-05-04,12999799,39534
2022-05-05,13033766,33967
2022-05-06,13054829,21063
2022-05-07,13086699,31870
2022-05-08,13118887,32188
2022-05-09,13134377,15490
2022-05-10,13172906,38529
2022-05-11,13207421,34515
2022-05-12,13235626,28205
2022-05-13,13261310,25684
2022-05-14,13284754,23444
2022-05-15,13305015,20261
2022-05-16,13315210,10195
2022-05-17,13342520,27310
2022-05-18,13367235,24715
2022-05-19,13389266,22031
2022-05-20,13409166,19900
2022-05-21,13427896,18730
2022-05-22,13443223,15327
2022-05-23,13450713,7490
2022-05-24,13470995,20282
2022-05-25,13489774,18779
2022-05-26,13504459,14685
2022-05-27,13517499,13040
2022-05-28,13528835,11336
2022-05-29,13538777,9942
2022-05-30,13543439,4662
2022-05-31,13556753,13314
2022-06-01,13569265,12512
2022-06-02,13576965,7700
2022-06-03,13586920,9955
2022-06-04,13596325,9405
2022-06-05,13604141,7816
2022-06-06,13608034,3893
2022-06-07,13612818,4784
2022-06-08,13623369,10551
2022-06-09,13633070,9701
2022-06-10,13640458,7388
2022-06-11,13647222,6764
2022-06-12,13653034,5812
2022-06-13,13655934,2900
2022-06-14,13663537,7603
2022-06-15,13671094,7557
2022-06-16,13677477,6383
2022-06-17,13683211,5734
2022-06-18,13688664,5453
2022-06-19,13693495,4831
2022-06-20,13696186,2691
2022-06-21,13703567,7381
2022-06-22,13710742,7175
2022-06-23,13716656,5914
2022-06-24,13722504,5848
2022-06-25,13727880,5376
2022-06-26,13732843,4963
2022-06-27,13735543,2700
2022-06-28,13743373,7830
2022-06-29,13751881,8508
2022-06-30,13759602,7721
2022-07-01,13767229,7627
